GEOID	NAME	variable	estimate	moe
36005000100	Census Tract 1, Bronx County, New York	B01003_001	7411	308
36005000200	Census Tract 2, Bronx County, New York	B01003_001	5058	773
36005000400	Census Tract 4, Bronx County, New York	B01003_001	5944	502
36005001600	Census Tract 16, Bronx County, New York	B01003_001	6115	536
36005001900	Census Tract 19, Bronx County, New York	B01003_001	2817	307
36005002000	Census Tract 20, Bronx County, New York	B01003_001	9608	987
36005002300	Census Tract 23, Bronx County, New York	B01003_001	4733	445
36005002400	Census Tract 24, Bronx County, New York	B01003_001	130	208
36005002500	Census Tract 25, Bronx County, New York	B01003_001	5760	580
36005002701	Census Tract 27.01, Bronx County, New York	B01003_001	2958	315
36005002702	Census Tract 27.02, Bronx County, New York	B01003_001	4538	460
36005002800	Census Tract 28, Bronx County, New York	B01003_001	5423	487
36005003100	Census Tract 31, Bronx County, New York	B01003_001	1675	208
36005003300	Census Tract 33, Bronx County, New York	B01003_001	3693	418
36005003500	Census Tract 35, Bronx County, New York	B01003_001	3821	383
36005003700	Census Tract 37, Bronx County, New York	B01003_001	292	86
36005003800	Census Tract 38, Bronx County, New York	B01003_001	1437	217
36005003900	Census Tract 39, Bronx County, New York	B01003_001	6473	802
36005004001	Census Tract 40.01, Bronx County, New York	B01003_001	1428	184
36005004100	Census Tract 41, Bronx County, New York	B01003_001	5946	571
36005004200	Census Tract 42, Bronx County, New York	B01003_001	7814	913
36005004300	Census Tract 43, Bronx County, New York	B01003_001	6190	587
36005004400	Census Tract 44, Bronx County, New York	B01003_001	4446	391
36005004600	Census Tract 46, Bronx County, New York	B01003_001	1876	217
36005004800	Census Tract 48, Bronx County, New York	B01003_001	4536	420
36005005001	Census Tract 50.01, Bronx County, New York	B01003_001	5101	459
36005005002	Census Tract 50.02, Bronx County, New York	B01003_001	5583	564
36005005100	Census Tract 51, Bronx County, New York	B01003_001	5721	483
36005005200	Census Tract 52, Bronx County, New York	B01003_001	2151	272
36005005300	Census Tract 53, Bronx County, New York	B01003_001	4167	318
36005005400	Census Tract 54, Bronx County, New York	B01003_001	6463	557
36005005600	Census Tract 56, Bronx County, New York	B01003_001	2608	333
36005005902	Census Tract 59.02, Bronx County, New York	B01003_001	2757	352
36005006000	Census Tract 60, Bronx County, New York	B01003_001	1328	164
36005006100	Census Tract 61, Bronx County, New York	B01003_001	3869	444
36005006200	Census Tract 62, Bronx County, New York	B01003_001	7268	768
36005006300	Census Tract 63, Bronx County, New York	B01003_001	4298	508
36005006400	Census Tract 64, Bronx County, New York	B01003_001	3309	458
36005006500	Census Tract 65, Bronx County, New York	B01003_001	5471	597
36005006700	Census Tract 67, Bronx County, New York	B01003_001	7314	729
36005006800	Census Tract 68, Bronx County, New York	B01003_001	3435	363
36005006900	Census Tract 69, Bronx County, New York	B01003_001	8351	837
36005007000	Census Tract 70, Bronx County, New York	B01003_001	4899	664
36005007100	Census Tract 71, Bronx County, New York	B01003_001	2702	250
36005007200	Census Tract 72, Bronx County, New York	B01003_001	5520	596
36005007300	Census Tract 73, Bronx County, New York	B01003_001	4139	434
