GEOID	NAME	variable	estimate	moe	zip_code
10001	ZCTA5 10001	B01003_001	23947	1738	10001
10002	ZCTA5 10002	B01003_001	77925	2031	10002
10003	ZCTA5 10003	B01003_001	55035	1789	10003
10004	ZCTA5 10004	B01003_001	2990	532	10004
10005	ZCTA5 10005	B01003_001	8680	922	10005
10006	ZCTA5 10006	B01003_001	3579	483	10006
10007	ZCTA5 10007	B01003_001	7036	784	10007
10009	ZCTA5 10009	B01003_001	60141	1585	10009
10010	ZCTA5 10010	B01003_001	33119	2073	10010
10011	ZCTA5 10011	B01003_001	50711	1638	10011
10012	ZCTA5 10012	B01003_001	24527	1202	10012
10013	ZCTA5 10013	B01003_001	29619	1407	10013
10014	ZCTA5 10014	B01003_001	31794	1288	10014
10016	ZCTA5 10016	B01003_001	51448	1933	10016
10017	ZCTA5 10017	B01003_001	16388	1296	10017
10018	ZCTA5 10018	B01003_001	9719	516	10018
10019	ZCTA5 10019	B01003_001	41592	1692	10019
10020	ZCTA5 10020	B01003_001	0	11	10020
10021	ZCTA5 10021	B01003_001	44983	2602	10021
10022	ZCTA5 10022	B01003_001	30807	1366	10022
10023	ZCTA5 10023	B01003_001	61514	2299	10023
10024	ZCTA5 10024	B01003_001	58512	2109	10024
10025	ZCTA5 10025	B01003_001	94382	2987	10025
10026	ZCTA5 10026	B01003_001	40105	1727	10026
10027	ZCTA5 10027	B01003_001	65365	1957	10027
10028	ZCTA5 10028	B01003_001	50091	2282	10028
10029	ZCTA5 10029	B01003_001	80866	2559	10029
10030	ZCTA5 10030	B01003_001	30163	1892	10030
10031	ZCTA5 10031	B01003_001	62382	2096	10031
10032	ZCTA5 10032	B01003_001	63185	2680	10032
10033	ZCTA5 10033	B01003_001	60810	2267	10033
10034	ZCTA5 10034	B01003_001	44186	1677	10034
10035	ZCTA5 10035	B01003_001	35366	1460	10035
10036	ZCTA5 10036	B01003_001	26868	1360	10036
10037	ZCTA5 10037	B01003_001	21184	1191	10037
10038	ZCTA5 10038	B01003_001	22457	1214	10038
10039	ZCTA5 10039	B01003_001	27203	1213	10039
10040	ZCTA5 10040	B01003_001	46003	1796	10040
10044	ZCTA5 10044	B01003_001	11945	1032	10044
10065	ZCTA5 10065	B01003_001	29565	1516	10065
10069	ZCTA5 10069	B01003_001	5195	912	10069
10075	ZCTA5 10075	B01003_001	22818	2499	10075
10103	ZCTA5 10103	B01003_001	0	11	10103
10110	ZCTA5 10110	B01003_001	0	11	10110
10111	ZCTA5 10111	B01003_001	0	11	10111
10112	ZCTA5 10112	B01003_001	0	11	10112
10115	ZCTA5 10115	B01003_001	0	11	10115
10119	ZCTA5 10119	B01003_001	0	11	10119
10128	ZCTA5 10128	B01003_001	62743	2376	10128
10152	ZCTA5 10152	B01003_001	0	11	10152
10153	ZCTA5 10153	B01003_001	0	11	10153
10154	ZCTA5 10154	B01003_001	0	11	10154
10162	ZCTA5 10162	B01003_001	1324	522	10162
10165	ZCTA5 10165	B01003_001	0	11	10165
10167	ZCTA5 10167	B01003_001	0	11	10167
10168	ZCTA5 10168	B01003_001	0	11	10168
10169	ZCTA5 10169	B01003_001	0	11	10169
10170	ZCTA5 10170	B01003_001	0	11	10170
10171	ZCTA5 10171	B01003_001	0	11	10171
10172	ZCTA5 10172	B01003_001	0	11	10172
10173	ZCTA5 10173	B01003_001	0	11	10173
10174	ZCTA5 10174	B01003_001	0	11	10174
10177	ZCTA5 10177	B01003_001	0	11	10177
10199	ZCTA5 10199	B01003_001	0	11	10199
10271	ZCTA5 10271	B01003_001	0	11	10271
10278	ZCTA5 10278	B01003_001	0	11	10278
10279	ZCTA5 10279	B01003_001	0	11	10279
10280	ZCTA5 10280	B01003_001	9820	692	10280
10282	ZCTA5 10282	B01003_001	5644	554	10282
