GEOID	sex	year	estimate	popup
36005000100	male	2017	6857	"Census Tract 1
Est: 6857"
36005000100	female	2017	554	"Census Tract 1
Est: 554"
36005000100	total	2017	7411	"Census Tract 1
Est: 7411"
36005000200	male	2017	2502	"Census Tract 2
Est: 2502"
36005000200	female	2017	2556	"Census Tract 2
Est: 2556"
36005000200	total	2017	5058	"Census Tract 2
Est: 5058"
36005000400	male	2017	2984	"Census Tract 4
Est: 2984"
36005000400	female	2017	2960	"Census Tract 4
Est: 2960"
36005000400	total	2017	5944	"Census Tract 4
Est: 5944"
36005001600	male	2017	2351	"Census Tract 16
Est: 2351"
36005001600	female	2017	3764	"Census Tract 16
Est: 3764"
36005001600	total	2017	6115	"Census Tract 16
Est: 6115"
36005001900	male	2017	1327	"Census Tract 19
Est: 1327"
36005001900	female	2017	1490	"Census Tract 19
Est: 1490"
36005001900	total	2017	2817	"Census Tract 19
Est: 2817"
36005002000	male	2017	3872	"Census Tract 20
Est: 3872"
36005002000	female	2017	5736	"Census Tract 20
Est: 5736"
36005002000	total	2017	9608	"Census Tract 20
Est: 9608"
36005002300	male	2017	2218	"Census Tract 23
Est: 2218"
36005002300	female	2017	2515	"Census Tract 23
Est: 2515"
36005002300	total	2017	4733	"Census Tract 23
Est: 4733"
36005002400	male	2017	96	"Census Tract 24
Est: 96"
36005002400	female	2017	34	"Census Tract 24
Est: 34"
36005002400	total	2017	130	"Census Tract 24
Est: 130"
36005002500	male	2017	2666	"Census Tract 25
Est: 2666"
36005002500	female	2017	3094	"Census Tract 25
Est: 3094"
36005002500	total	2017	5760	"Census Tract 25
Est: 5760"
36005002701	male	2017	1317	"Census Tract 27.01
Est: 1317"
36005002701	female	2017	1641	"Census Tract 27.01
Est: 1641"
36005002701	total	2017	2958	"Census Tract 27.01
Est: 2958"
36005002702	male	2017	2212	"Census Tract 27.02
Est: 2212"
36005002702	female	2017	2326	"Census Tract 27.02
Est: 2326"
36005002702	total	2017	4538	"Census Tract 27.02
Est: 4538"
36005002800	male	2017	2299	"Census Tract 28
Est: 2299"
36005002800	female	2017	3124	"Census Tract 28
Est: 3124"
36005002800	total	2017	5423	"Census Tract 28
Est: 5423"
36005003100	male	2017	915	"Census Tract 31
Est: 915"
36005003100	female	2017	760	"Census Tract 31
Est: 760"
36005003100	total	2017	1675	"Census Tract 31
Est: 1675"
36005003300	male	2017	1598	"Census Tract 33
Est: 1598"
36005003300	female	2017	2095	"Census Tract 33
Est: 2095"
36005003300	total	2017	3693	"Census Tract 33
Est: 3693"
36005003500	male	2017	1703	"Census Tract 35
Est: 1703"
36005003500	female	2017	2118	"Census Tract 35
Est: 2118"
36005003500	total	2017	3821	"Census Tract 35
Est: 3821"
36005003700	male	2017	152	"Census Tract 37
Est: 152"
36005003700	female	2017	140	"Census Tract 37
Est: 140"
36005003700	total	2017	292	"Census Tract 37
Est: 292"
36005003800	male	2017	688	"Census Tract 38
Est: 688"
36005003800	female	2017	749	"Census Tract 38
Est: 749"
36005003800	total	2017	1437	"Census Tract 38
Est: 1437"
36005003900	male	2017	3114	"Census Tract 39
Est: 3114"
36005003900	female	2017	3359	"Census Tract 39
Est: 3359"
36005003900	total	2017	6473	"Census Tract 39
Est: 6473"
36005004001	male	2017	700	"Census Tract 40.01
Est: 700"
36005004001	female	2017	728	"Census Tract 40.01
Est: 728"
36005004001	total	2017	1428	"Census Tract 40.01
Est: 1428"
36005004100	male	2017	2931	"Census Tract 41
Est: 2931"
36005004100	female	2017	3015	"Census Tract 41
Est: 3015"
36005004100	total	2017	5946	"Census Tract 41
Est: 5946"
