GEOID	NAME	variable	estimate	moe	zip_code	year	popup
10001	ZCTA5 10001	B01003_001	23947	1738	10001	2017	"ZIP 10001
Est: 23947"
10002	ZCTA5 10002	B01003_001	77925	2031	10002	2017	"ZIP 10002
Est: 77925"
10003	ZCTA5 10003	B01003_001	55035	1789	10003	2017	"ZIP 10003
Est: 55035"
10004	ZCTA5 10004	B01003_001	2990	532	10004	2017	"ZIP 10004
Est: 2990"
10005	ZCTA5 10005	B01003_001	8680	922	10005	2017	"ZIP 10005
Est: 8680"
10006	ZCTA5 10006	B01003_001	3579	483	10006	2017	"ZIP 10006
Est: 3579"
10007	ZCTA5 10007	B01003_001	7036	784	10007	2017	"ZIP 10007
Est: 7036"
10009	ZCTA5 10009	B01003_001	60141	1585	10009	2017	"ZIP 10009
Est: 60141"
10010	ZCTA5 10010	B01003_001	33119	2073	10010	2017	"ZIP 10010
Est: 33119"
10011	ZCTA5 10011	B01003_001	50711	1638	10011	2017	"ZIP 10011
Est: 50711"
10012	ZCTA5 10012	B01003_001	24527	1202	10012	2017	"ZIP 10012
Est: 24527"
10013	ZCTA5 10013	B01003_001	29619	1407	10013	2017	"ZIP 10013
Est: 29619"
10014	ZCTA5 10014	B01003_001	31794	1288	10014	2017	"ZIP 10014
Est: 31794"
10016	ZCTA5 10016	B01003_001	51448	1933	10016	2017	"ZIP 10016
Est: 51448"
10017	ZCTA5 10017	B01003_001	16388	1296	10017	2017	"ZIP 10017
Est: 16388"
10018	ZCTA5 10018	B01003_001	9719	516	10018	2017	"ZIP 10018
Est: 9719"
10019	ZCTA5 10019	B01003_001	41592	1692	10019	2017	"ZIP 10019
Est: 41592"
10020	ZCTA5 10020	B01003_001	0	11	10020	2017	"ZIP 10020
Est: 0"
10021	ZCTA5 10021	B01003_001	44983	2602	10021	2017	"ZIP 10021
Est: 44983"
10022	ZCTA5 10022	B01003_001	30807	1366	10022	2017	"ZIP 10022
Est: 30807"
10023	ZCTA5 10023	B01003_001	61514	2299	10023	2017	"ZIP 10023
Est: 61514"
10024	ZCTA5 10024	B01003_001	58512	2109	10024	2017	"ZIP 10024
Est: 58512"
10025	ZCTA5 10025	B01003_001	94382	2987	10025	2017	"ZIP 10025
Est: 94382"
10026	ZCTA5 10026	B01003_001	40105	1727	10026	2017	"ZIP 10026
Est: 40105"
10027	ZCTA5 10027	B01003_001	65365	1957	10027	2017	"ZIP 10027
Est: 65365"
10028	ZCTA5 10028	B01003_001	50091	2282	10028	2017	"ZIP 10028
Est: 50091"
10029	ZCTA5 10029	B01003_001	80866	2559	10029	2017	"ZIP 10029
Est: 80866"
10030	ZCTA5 10030	B01003_001	30163	1892	10030	2017	"ZIP 10030
Est: 30163"
10031	ZCTA5 10031	B01003_001	62382	2096	10031	2017	"ZIP 10031
Est: 62382"
10032	ZCTA5 10032	B01003_001	63185	2680	10032	2017	"ZIP 10032
Est: 63185"
10033	ZCTA5 10033	B01003_001	60810	2267	10033	2017	"ZIP 10033
Est: 60810"
10034	ZCTA5 10034	B01003_001	44186	1677	10034	2017	"ZIP 10034
Est: 44186"
10035	ZCTA5 10035	B01003_001	35366	1460	10035	2017	"ZIP 10035
Est: 35366"
10036	ZCTA5 10036	B01003_001	26868	1360	10036	2017	"ZIP 10036
Est: 26868"
10037	ZCTA5 10037	B01003_001	21184	1191	10037	2017	"ZIP 10037
Est: 21184"
10038	ZCTA5 10038	B01003_001	22457	1214	10038	2017	"ZIP 10038
Est: 22457"
10039	ZCTA5 10039	B01003_001	27203	1213	10039	2017	"ZIP 10039
Est: 27203"
10040	ZCTA5 10040	B01003_001	46003	1796	10040	2017	"ZIP 10040
Est: 46003"
10044	ZCTA5 10044	B01003_001	11945	1032	10044	2017	"ZIP 10044
Est: 11945"
10065	ZCTA5 10065	B01003_001	29565	1516	10065	2017	"ZIP 10065
Est: 29565"
10069	ZCTA5 10069	B01003_001	5195	912	10069	2017	"ZIP 10069
Est: 5195"
10075	ZCTA5 10075	B01003_001	22818	2499	10075	2017	"ZIP 10075
Est: 22818"
10103	ZCTA5 10103	B01003_001	0	11	10103	2017	"ZIP 10103
Est: 0"
10110	ZCTA5 10110	B01003_001	0	11	10110	2017	"ZIP 10110
Est: 0"
10111	ZCTA5 10111	B01003_001	0	11	10111	2017	"ZIP 10111
Est: 0"
10112	ZCTA5 10112	B01003_001	0	11	10112	2017	"ZIP 10112
Est: 0"
10115	ZCTA5 10115	B01003_001	0	11	10115	2017	"ZIP 10115
Est: 0"
10119	ZCTA5 10119	B01003_001	0	11	10119	2017	"ZIP 10119
Est: 0"
10128	ZCTA5 10128	B01003_001	62743	2376	10128	2017	"ZIP 10128
Est: 62743"
10152	ZCTA5 10152	B01003_001	0	11	10152	2017	"ZIP 10152
Est: 0"
10153	ZCTA5 10153	B01003_001	0	11	10153	2017	"ZIP 10153
Est: 0"
10154	ZCTA5 10154	B01003_001	0	11	10154	2017	"ZIP 10154
Est: 0"
